frame_index,x,y,width,height,annotation_source,annotation_session_id,annotator_id,flags,note
120,88.65369649805447,317.6470588235294,314.7704280155642,394.11764705882354,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
121,94.63035019455253,277.6470588235294,309.78988326848247,441.17647058823536,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
129,139.45525291828793,238.8235294117647,301.8210116731518,474.1176470588236,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
134,138.4591439688716,217.64705882352942,401.43190661478604,450.5882352941177,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
148,285.8832684824903,178.8235294117647,432.31128404669255,481.1764705882353,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
160,361.5875486381323,175.2941176470588,354.61478599221783,487.0588235294118,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
166,357.6031128404669,110.58823529411765,393.4630350194552,551.7647058823529,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
197,611.6108949416342,51.76470588235294,180.29571984435802,327.05882352941177,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
203,659.4241245136187,42.35294117647059,228.1089494163424,341.17647058823525,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
208,687.3151750972762,36.470588235294116,191.25291828793775,402.3529411764706,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
215,725.1673151750973,11.764705882352942,279.90661478599213,428.2352941176471,human_ui,52e32f75-6c87-4753-9e33-e9dc27deda52,researcher_01,,
